problem_id,raw_text,language,category,subcategory,district,data_source,label_source
JH_SYN_V2_0045,बाजार क्षेत्र में सफाई ठीक से नहीं हो रही है। लोग काफी समय से परेशान हैं।,hi,sanitation,public_cleanliness,Chatra,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0046,School ke paas peene ke paani ka arrangement nahi hai. Please look into this issue.,hinglish,water,drinking_water,Saraikela-Kharsawan,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0047,Market area mein safai nahi hoti. जल्द कार्रवाई की आवश्यकता है।,hi,sanitation,public_cleanliness,Chatra,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0048,Traffic congestion is severe near village. कृपया समस्या का समाधान किया जाए।,en,transport,traffic,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0049,Street lights near village are not working.,en,electricity,street_lighting,Ramgarh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0050,Digital learning setup काफी समय से बंद पड़ा है। कृपया समस्या का समाधान किया जाए।,hi,education,digital_learning,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0051,Open waste burning is causing smoke near panchayat. जल्द कार्रवाई की आवश्यकता है।,en,environment,waste_burning,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0052,main road के सरकारी स्कूल में toilet और पानी की सुविधा खराब है। Please look into this issue.,hi,education,school_infrastructure,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0053,The lane near mohalla needs urgent maintenance. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,roads,street_maintenance,Dhanbad,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0055,panchayat के eligible लोगों को scheme benefit नहीं मिल रहा। Please look into this issue.,hinglish,welfare,scheme_access,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0056,Farmers need support after crop damage near hospital.,en,agriculture,crop_support,Koderma,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0057,panchayat में death certificate application की जानकारी नहीं मिल रही। Please look into this issue.,hinglish,certificates,death_certificate,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0058,"Raat ko area unsafe lagta hai, lighting improve honi chahiye. जल्द कार्रवाई की आवश्यकता है।",hinglish,public_safety,unsafe_public_area,East Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0059,main road के किसानों को irrigation facility की जरूरत है।,hinglish,agriculture,irrigation,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0060,खराब रास्ते के कारण hospital के पास accident का खतरा है।,hi,public_safety,unsafe_public_area,Ramgarh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0061,सड़क में इतने बड़े गड्ढे हैं कि दोपहिया चलाना मुश्किल है।,hi,roads,pothole,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0062,बारिश में घर की छत से पानी अंदर आता है। लोग काफी समय से परेशान हैं।,hi,housing,housing_infrastructure,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0063,खेतों तक सिंचाई का पानी नहीं पहुंच रहा है। Please look into this issue.,hinglish,agriculture,irrigation,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0064,गांव से hospital तक transport बहुत सीमित है। Please look into this issue.,hi,health,hospital_access,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0065,panchayat में voltage और power supply की समस्या है। जल्द कार्रवाई की आवश्यकता है।,hi,electricity,power_supply,Dumka,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0066,सरकारी स्वास्थ्य केंद्र में जरूरी दवाइयां उपलब्ध नहीं हैं।,hi,health,medicine_availability,Saraikela-Kharsawan,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0067,स्कूल की छत और कमरे की मरम्मत की जरूरत है।,hinglish,education,school_infrastructure,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0069,स्कूल के पास पीने के पानी की व्यवस्था नहीं है। लोग काफी समय से परेशान हैं।,hi,water,drinking_water,East Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0070,Power supply is highly irregular in bus stand. जल्द कार्रवाई की आवश्यकता है।,en,electricity,power_supply,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0071,गांव के handpump में पानी बहुत कम आ रहा है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,water,groundwater,Dumka,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0072,ward की internal road बहुत खराब condition में है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,roads,street_maintenance,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0073,दुकान के business license application में देरी है। लोग काफी समय से परेशान हैं।,hinglish,certificates,business_license,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0074,People near health centre do not have safe drinking water. जल्द कार्रवाई की आवश्यकता है।,en,water,drinking_water,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0075,The government school near village needs infrastructure repairs. कृपया समस्या का समाधान किया जाए।,en,education,school_infrastructure,Chatra,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0076,Power supply is highly irregular in health centre. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,electricity,power_supply,Koderma,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0077,Farmers need support after crop damage near market.,en,agriculture,crop_support,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0078,पिछले 45 दिनों से हमारे मोहल्ले में नल का पानी नहीं आ रहा है। Please look into this issue.,hinglish,water,water_supply,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0079,Government scheme ka benefit nahi mil raha. कृपया समस्या का समाधान किया जाए।,hinglish,welfare,scheme_access,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0080,village के पास बिना उचित अनुमति construction की शिकायत है।,hinglish,public_safety,illegal_construction,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0082,Business license ka verification pending hai. जल्द कार्रवाई की आवश्यकता है।,hinglish,certificates,business_license,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0083,The digital learning equipment at health centre is not working.,en,education,digital_learning,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0084,PHC mein basic treatment ke liye staff/service kam hai. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hinglish,health,primary_healthcare,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0085,Main road toot chuki hai aur repair ki zarurat hai. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hinglish,roads,road_damage,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0086,bus stand के सरकारी स्कूल में toilet और पानी की सुविधा खराब है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,education,school_infrastructure,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0087,village में death certificate application की जानकारी नहीं मिल रही।,hinglish,certificates,death_certificate,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0088,Primary healthcare access is difficult near market. लोग काफी समय से परेशान हैं।,hinglish,health,primary_healthcare,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0089,Road safety is a concern near school.,en,transport,road_safety,Dumka,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0090,"main road में कई दिनों से पानी की सप्लाई बंद है, लोग परेशान हैं। Please look into this issue.",hinglish,water,water_supply,Dumka,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0091,PHC mein basic treatment ke liye staff/service kam hai. जल्द कार्रवाई की आवश्यकता है।,hinglish,health,primary_healthcare,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0092,Farmers have difficulty accessing markets from panchayat. Please look into this issue.,en,agriculture,market_access,Saraikela-Kharsawan,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0093,आपात स्थिति में main road से अस्पताल पहुंचना मुश्किल है। लोग काफी समय से परेशान हैं।,hinglish,health,hospital_access,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0094,There has been no regular water supply in mohalla for 20 days.,en,water,water_supply,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0095,Open waste burning is causing smoke near panchayat. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,environment,waste_burning,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0096,Bijli baar baar ja rahi hai aur supply stable nahi hai. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,electricity,power_supply,East Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0097,Welfare scheme ke application mein issue aa raha hai.,hinglish,welfare,urban_welfare,Chatra,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0098,"main road में कई दिनों से पानी की सप्लाई बंद है, लोग परेशान हैं। लोग काफी समय से परेशान हैं।",hi,water,water_supply,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0099,The government school near market needs infrastructure repairs. जल्द कार्रवाई की आवश्यकता है।,en,education,school_infrastructure,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0100,Bijli baar baar ja rahi hai aur supply stable nahi hai. कृपया समस्या का समाधान किया जाए।,hi,electricity,power_supply,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0101,Open waste burning is causing smoke near ward.,en,environment,waste_burning,Bokaro,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0103,The public area near hospital needs regular cleaning.,en,sanitation,public_cleanliness,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0104,health centre की internal road बहुत खराब condition में है। जल्द कार्रवाई की आवश्यकता है।,hinglish,roads,street_maintenance,West Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0105,Road safety is a concern near ward. कृपया समस्या का समाधान किया जाए।,en,transport,road_safety,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0106,Large potholes have appeared on the road near village. लोग काफी समय से परेशान हैं।,hinglish,roads,pothole,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0107,Several houses near school need basic repairs. लोग काफी समय से परेशान हैं।,en,housing,housing_infrastructure,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0108,फसल खराब होने के बाद किसानों को सहायता की जानकारी नहीं मिल रही। लोग काफी समय से परेशान हैं।,hi,agriculture,crop_support,Dhanbad,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0109,Emergency mein hospital pahunchne ka proper transport nahi hai. कृपया समस्या का समाधान किया जाए।,en,health,hospital_access,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0110,"Nali block hai, dirty water road par aa raha hai. कृपया समस्या का समाधान किया जाए।",hi,sanitation,drainage,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0111,Unauthorized construction is blocking the public path near bus stand. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,public_safety,illegal_construction,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0112,bus stand में pedestrian safety के लिए व्यवस्था चाहिए।,hinglish,transport,road_safety,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0113,Farmers near ward do not have reliable irrigation. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,agriculture,irrigation,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0114,Farmers near school do not have reliable irrigation. लोग काफी समय से परेशान हैं।,en,agriculture,irrigation,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0115,स्कूल के सामने तेज traffic के कारण बच्चों की safety को खतरा है। Please look into this issue.,hi,transport,road_safety,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0116,panchayat में sewer overflow की शिकायत है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hinglish,sanitation,sewerage,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0117,खराब रास्ते के कारण panchayat के पास accident का खतरा है। कृपया समस्या का समाधान किया जाए।,hi,public_safety,unsafe_public_area,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0118,health centre की internal road बहुत खराब condition में है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,roads,street_maintenance,East Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0119,सार्वजनिक रास्ते पर unauthorized construction किया जा रहा है। लोग काफी समय से परेशान हैं।,hinglish,public_safety,illegal_construction,Saraikela-Kharsawan,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0120,Pollution has increased around mohalla. जल्द कार्रवाई की आवश्यकता है।,en,environment,pollution,Hazaribagh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0121,स्कूल के smart classroom के उपकरण काम नहीं कर रहे। जल्द कार्रवाई की आवश्यकता है।,hi,education,digital_learning,Koderma,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0122,सार्वजनिक रास्ते पर unauthorized construction किया जा रहा है।,hinglish,public_safety,illegal_construction,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0124,Ghar ki roof se rainwater andar aa raha hai. Please look into this issue.,hi,housing,housing_infrastructure,West Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0125,Business license ka verification pending hai.,hinglish,certificates,business_license,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0126,ward में license verification पूरा नहीं हुआ। Please look into this issue.,hinglish,certificates,business_license,East Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0127,नगर क्षेत्र में welfare service के application में दिक्कत है। जल्द कार्रवाई की आवश्यकता है।,hi,welfare,urban_welfare,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0128,main road में pedestrian safety के लिए व्यवस्था चाहिए। कृपया समस्या का समाधान किया जाए।,hi,transport,road_safety,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0129,Smart class ka system kharab hai. कृपया समस्या का समाधान किया जाए।,hinglish,education,digital_learning,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0130,Waterlogging is blocking the road near bus stand. Please look into this issue.,hinglish,water,waterlogging,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0131,Ghar ki roof se rainwater andar aa raha hai.,hi,housing,housing_infrastructure,Ramgarh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0132,School ke bahar traffic dangerous hai. लोग काफी समय से परेशान हैं।,hi,transport,road_safety,Koderma,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0133,certificate application के लिए सही जानकारी नहीं मिल रही। Please look into this issue.,hi,certificates,document_or_certificate,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0134,Public land par illegal construction ho raha hai.,en,public_safety,illegal_construction,Saraikela-Kharsawan,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0135,The digital learning equipment at hospital is not working. Please look into this issue.,en,education,digital_learning,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0136,Unauthorized construction is blocking the public path near mohalla. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,public_safety,illegal_construction,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0137,Welfare scheme ke application mein issue aa raha hai. जल्द कार्रवाई की आवश्यकता है।,hinglish,welfare,urban_welfare,Ramgarh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0138,बरसात के बाद सड़क कई जगह से टूट गई है। कृपया समस्या का समाधान किया जाए।,hinglish,roads,road_damage,West Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0139,"School mein teachers kam hain, classes properly nahi ho rahi.",hi,education,teacher_or_staff,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0140,इलाके में धूल और smoke के कारण परेशानी हो रही है।,hinglish,environment,pollution,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0141,hospital में कई घरों को basic repair की जरूरत है। Please look into this issue.,hinglish,housing,housing_infrastructure,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0142,Teacher shortages are affecting classes at hospital. Please look into this issue.,en,education,teacher_or_staff,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0143,mohalla में voltage और power supply की समस्या है। जल्द कार्रवाई की आवश्यकता है।,hinglish,electricity,power_supply,Bokaro,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0144,Kheton mein irrigation ka paani nahi pahunch raha. Please look into this issue.,hinglish,agriculture,irrigation,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0145,पिछले 30 दिनों से हमारे मोहल्ले में नल का पानी नहीं आ रहा है। जल्द कार्रवाई की आवश्यकता है।,hinglish,water,water_supply,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0146,Traffic congestion is severe near market. जल्द कार्रवाई की आवश्यकता है।,en,transport,traffic,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0147,Large potholes have appeared on the road near mohalla.,hi,roads,pothole,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0148,Market area mein traffic jam bahut hota hai.,hinglish,transport,traffic,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0149,Birth certificate ka application pending hai.,hinglish,certificates,birth_certificate,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0150,सड़क में इतने बड़े गड्ढे हैं कि दोपहिया चलाना मुश्किल है। लोग काफी समय से परेशान हैं।,hinglish,roads,pothole,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0151,Kachra jalane se bahut smoke ho raha hai. जल्द कार्रवाई की आवश्यकता है।,hinglish,environment,waste_burning,Dhanbad,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0152,पिछले 30 दिनों से हमारे मोहल्ले में नल का पानी नहीं आ रहा है। Please look into this issue.,hi,water,water_supply,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0153,स्कूल में subject teachers की कमी है।,hi,education,teacher_or_staff,Bokaro,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0154,Traffic congestion is severe near ward. लोग काफी समय से परेशान हैं।,en,transport,traffic,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0155,Area mein smoke aur pollution bahut badh gaya hai. कृपया समस्या का समाधान किया जाए।,hi,environment,pollution,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0156,bus stand के सरकारी स्कूल में toilet और पानी की सुविधा खराब है।,hi,education,school_infrastructure,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0157,रात में mohalla के आसपास अंधेरा और unsafe माहौल रहता है। कृपया समस्या का समाधान किया जाए।,hi,public_safety,unsafe_public_area,Koderma,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0158,Open waste burning is causing smoke near mohalla. जल्द कार्रवाई की आवश्यकता है।,en,environment,waste_burning,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0159,गांव से hospital तक transport बहुत सीमित है। जल्द कार्रवाई की आवश्यकता है।,hi,health,hospital_access,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0160,Several houses near hospital need basic repairs. जल्द कार्रवाई की आवश्यकता है।,en,housing,housing_infrastructure,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0161,The business license application near market is delayed. Please look into this issue.,en,certificates,business_license,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0162,health centre के पास बिना उचित अनुमति construction की शिकायत है।,hi,public_safety,illegal_construction,Dumka,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0163,There has been no regular water supply in village for 12 days. लोग काफी समय से परेशान हैं।,en,water,water_supply,Gumla,synthetic_demo_v2,synthetic_generated
